rank,rank_last_week,weeks_on_list,primary_isbn13,publisher,description,title,author,book_image,amazon_product_url,week,nyt_list
15,0,1,9781492682721,Sourcebooks Landmark,What might have happened during the 11 days in which a rising mystery author went missing in 1926.,THE MYSTERY OF MRS. CHRISTIE,MARIE BENEDICT,https://storage.googleapis.com/du-prd/books/images/9781492682721.jpg,https://www.amazon.com/dp/1492682721?tag=NYTBSREV-20,2021-01-17,Combined Print & E-Book Fiction
13,0,1,9781538718636,Grand Central,Detectives Kylie MacDonald and Zach Jordan search for a reality TV star who goes missing from her wedding reception.,NYPD RED 6,JAMES PATTERSON AND MARSHALL KARP,https://storage.googleapis.com/du-prd/books/images/9781538718636.jpg,https://www.amazon.com/dp/1538713888?tag=NYTBSREV-20,2021-01-03,Combined Print & E-Book Fiction
5,0,1,9781419752322,Amulet,The TikTok personality shares the intimate details of her life; reclassified this week as young adult.,ESSENTIALLY CHARLI,CHARLI D’AMELIO,https://storage.googleapis.com/du-prd/books/images/9781419752322.jpg,https://www.amazon.com/dp/6073199880?tag=NYTBSREV-20,2020-12-27,Young Adult Hardcover
1,0,1,9780525708001,Delacorte,Three cousins learn about their family's dark past.,THE COUSINS,KAREN M MCMANUS,https://storage.googleapis.com/du-prd/books/images/9780525708001.jpg,https://www.amazon.com/dp/0525708006?tag=NYTBSREV-20,2020-12-20,Young Adult Hardcover
3,0,1,9781536217018,Candlewick,An essential guide to the movement toward antiracism.,THE BLACK FRIEND,FREDERICK JOSEPH,https://storage.googleapis.com/du-prd/books/images/9781536217018.jpg,https://www.amazon.com/dp/1536217018?tag=NYTBSREV-20,2020-12-20,Young Adult Hardcover
1,0,1,9781524761332,Ballantine,"In a sequel to “Ready Player One,” Wade Watts discovers a technological advancement and goes on a new quest.",READY PLAYER TWO,ERNEST CLINE,https://storage.googleapis.com/du-prd/books/images/9781524761332.jpg,https://www.amazon.com/dp/1524761338?tag=NYTBSREV-20,2020-12-13,Combined Print & E-Book Fiction
2,0,1,9780316497992,"Little, Brown",The 28th book in the Alex Cross series. An investigation of a double homicide sends Alex Cross to Alabama.,DEADLY CROSS,JAMES PATTERSON,https://storage.googleapis.com/du-prd/books/images/9780316420259.jpg,https://www.amazon.com/dp/0316420255?tag=NYTBSREV-20,2020-12-13,Combined Print & E-Book Fiction
3,0,1,9781250272607,St. Martin's,The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.,THE AWAKENING,NORA ROBERTS,https://storage.googleapis.com/du-prd/books/images/9781250272614.jpg,https://www.amazon.com/dp/1250272610?tag=NYTBSREV-20,2020-12-13,Combined Print & E-Book Fiction
14,0,1,9780062563255,Harper,The 13th book in the Saxon Tales series. Lord Uhtred of Bebbanburg prepares for what might be his final battle.,WAR LORD,BERNARD CORNWELL,https://storage.googleapis.com/du-prd/books/images/9780062563255.jpg,https://www.amazon.com/dp/0062563297?tag=NYTBSREV-20,2020-12-13,Combined Print & E-Book Fiction
15,0,1,9780593198131,Berkley,The 13th book in the Guild Hunter series. Titus must stop dangerous creatures called the reborn.,ARCHANGEL'S SUN,NALINI SINGH,https://storage.googleapis.com/du-prd/books/images/9780593198131.jpg,https://www.amazon.com/dp/0593198123?tag=NYTBSREV-20,2020-12-13,Combined Print & E-Book Fiction
1,0,1,9781429952040,Tor,The fourth book in the Stormlight Archive series. Technological discoveries and an ensuing arms race change how a war is fought.,RHYTHM OF WAR,BRANDON SANDERSON,https://storage.googleapis.com/du-prd/books/images/9780765326386.jpg,https://www.amazon.com/dp/0765326388?tag=NYTBSREV-20,2020-12-06,Combined Print & E-Book Fiction
