title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity
"Gild (The Plated Prisoner, #1)",Raven Kennedy,https://www.goodreads.com/book/show/56483061-gild,3.67,"                51,257",2020,60
One Last Stop (Paperback),Casey McQuiston,https://www.goodreads.com/book/show/54860443-one-last-stop,4.04,"                127,356",2021,61
"A Kingdom of Flesh and Fire (Blood and Ash, #2)",Jennifer L. Armentrout,https://www.goodreads.com/book/show/54319549-a-kingdom-of-flesh-and-fire,4.45,"                193,411",2020,62
"The Fine Print (Dreamland Billionaires, #1)",Lauren Asher,https://www.goodreads.com/book/show/57658071-the-fine-print,4.05,"                78,192",2021,63
"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,https://www.goodreads.com/book/show/36199084-the-kiss-quotient,3.94,"                294,697",2018,64
The Secret History (Paperback),Donna Tartt,https://www.goodreads.com/book/show/29044.The_Secret_History,4.14,"                444,436",1992,65
"The Bridge Kingdom (The Bridge Kingdom, #1)",Danielle L. Jensen,https://www.goodreads.com/book/show/53921926-the-bridge-kingdom,4.09,"                63,419",2018,66
"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing,4.37,"                343,641",2019,67
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,https://www.goodreads.com/book/show/12000020-aristotle-and-dante-discover-the-secrets-of-the-universe,4.35,"                437,042",2012,68
"The Awakening (Zodiac Academy, #1)",Caroline Peckham,https://www.goodreads.com/book/show/46261182-the-awakening,3.99,"                58,464",2019,69
Malibu Rising (Hardcover),Taylor Jenkins Reid,https://www.goodreads.com/book/show/55404546-malibu-rising,4.08,"                439,519",2021,70
If We Were Villains (Hardcover),M.L. Rio,https://www.goodreads.com/book/show/30319086-if-we-were-villains,4.22,"                81,070",2017,71
Where the Crawdads Sing (ebook),Delia Owens,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing,4.45,"                1,764,505",2018,72
"Ninth House (Alex Stern, #1)",Leigh Bardugo,https://www.goodreads.com/book/show/43263680-ninth-house,4.04,"                172,643",2019,73
"Siege and Storm (The Shadow and Bone Trilogy, #2)",Leigh Bardugo,https://www.goodreads.com/book/show/14061955-siege-and-storm,3.86,"                459,804",2013,74
"Furyborn (Empirium, #1)",Claire Legrand,https://www.goodreads.com/book/show/34323570-furyborn,3.83,"                36,751",2018,75
"Ruin and Rising (The Shadow and Bone Trilogy, #3)",Leigh Bardugo,https://www.goodreads.com/book/show/14061957-ruin-and-rising,4.03,"                390,173",2014,76
Heartless (Hardcover),Marissa Meyer,https://www.goodreads.com/book/show/18584855-heartless,4.07,"                142,975",2016,77
"Legend (Legend, #1)",Marie Lu,https://www.goodreads.com/book/show/9275658-legend,4.16,"                479,218",2011,78
"An Ember in the Ashes (An Ember in the Ashes, #1)",Sabaa Tahir,https://www.goodreads.com/book/show/27774758-an-ember-in-the-ashes,4.26,"                247,949",2015,79
The Night Circus (Hardcover),Erin Morgenstern,https://www.goodreads.com/book/show/9361589-the-night-circus,4.03,"                826,323",2011,80
"The Crown of Gilded Bones (Blood and Ash, #3)",Jennifer L. Armentrout,https://www.goodreads.com/book/show/55240343-the-crown-of-gilded-bones,4.25,"                137,334",2021,81
"The Poppy War (The Poppy War, #1)",R.F. Kuang,https://www.goodreads.com/book/show/35068705-the-poppy-war,4.12,"                117,537",2018,82
