,title,author
252,Josh and Hazel's Guide to Not Dating (Paperback),Christina Lauren
253,"The Risk (Briar U, #2)",Elle Kennedy
254,"Wicked Saints (Something Dark and Holy, #1)",Emily A. Duncan
255,"Girls of Paper and Fire (Girls of Paper and Fire, #1)",Natasha Ngan
256,To Love Jason Thorn (Kindle Edition),Ella Maise
257,All Rhodes Lead Here (Kindle Edition),Mariana Zapata
258,House of Hollow (Hardcover),Krystal Sutherland
259,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus
260,Mexican Gothic (Hardcover),Silvia Moreno-Garcia
261,"Hopeless (Hopeless, #1)",Colleen Hoover
262,"The Beautiful (The Beautiful, #1)",Renée Ahdieh
263,"Fighting Destiny (The Fae Chronicles, #1)",Amelia Hutchins
264,The Flatshare (Hardcover),Beth O'Leary
265,"Vicious (Sinners of Saint, #1)",L.J. Shen
266,"Terms and Conditions (Dreamland Billionaires, #2)",Lauren Asher
267,The Soulmate Equation (Paperback),Christina Lauren
268,A Thousand Ships (Hardcover),Natalie Haynes
269,"Deviant King (Royal Elite, #1)",Rina Kent
270,This Is How You Lose the Time War (Kindle Edition),Amal El-Mohtar
271,"Hate (Madison Kate, #1)",Tate James
272,A Not So Meet Cute,Meghan Quinn
273,"Defy the Night (Defy the Night, #1)",Brigid Kemmerer
274,Kulti (Kindle Edition),Mariana Zapata
275,One True Loves (Kindle Edition),Taylor Jenkins Reid
276,"For the Wolf (Wilderwood, #1)",Hannah F. Whitten
277,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman
278,Confess (Paperback),Colleen Hoover
279,Counting Down with You (Hardcover),Tashie Bhuiyan
280,The Goldfinch (Hardcover),Donna Tartt
281,The Once and Future Witches (Hardcover),Alix E. Harrow
282,"Restore Me (Shatter Me, #4)",Tahereh Mafi
283,I'll Give You the Sun (Hardcover),Jandy Nelson
284,"Strange the Dreamer (Strange the Dreamer, #1)",Laini Taylor
285,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare
286,"Electric Idol (Dark Olympus, #2)",Katee Robert
287,All He'll Ever Be (Merciless #1-4),W. Winters
288,"Exodus (The Ravenhood, #2)",Kate Stewart
289,"As Good As Dead (A Good Girl's Guide to Murder, #3)",Holly Jackson
290,"Boyfriend Material (London Calling, #1)",Alexis Hall
291,"White Hot Kiss (The Dark Elements, #1)",Jennifer L. Armentrout
292,"Imagine Me (Shatter Me, #6)",Tahereh Mafi
293,"Defy Me (Shatter Me, #5)",Tahereh Mafi
294,"Storm and Fury (The Harbinger, #1)",Jennifer L. Armentrout
295,"The Tiger at Midnight (The Tiger at Midnight Trilogy, #1)",Swati Teerdhala
296,It Starts with Us (Paperback),Colleen Hoover
297,What Lies Beyond the Veil (Of Flesh & Bone #1),Harper L. Woods
298,Love on the Brain (Kindle Edition),Ali Hazelwood
299,Window Shopping (ebook),Tessa Bailey
300,Sweet Temptation (Kindle Edition),Cora Reilly
301,"The Prison Healer (The Prison Healer, #1)",Lynette Noni
302,"Kiss the Sky (Calloway Sisters, #1)",Krista Ritchie
303,"This Savage Song (Monsters of Verity, #1)",Victoria Schwab
304,The Ten Thousand Doors of January (Hardcover),Alix E. Harrow
305,Bunny (Hardcover),Mona Awad
306,"We Free the Stars (Sands of Arawiya, #2)",Hafsah Faizal
307,"The Silence of the Girls (Women of Troy, #1)",Pat Barker
308,Cruel Beauty (Hardcover),Rosamund Hodge
309,"Sweet Obsession (Ruthless Games, #1)",Callie Rose
310,Skin of the Night (The Night #1),C.K. Bennett
311,"Kings of Chaos (Dirty Broken Savages, #1)",Eva Ashwood
312,The Maidens (Hardcover),Alex Michaelides
313,Layla (Kindle Edition),Colleen Hoover
314,"The Bone Shard Daughter (The Drowning Empire, #1)",Andrea Stewart
315,The Sun Is Also a Star (Hardcover),Nicola Yoon
316,The Upside of Falling (Hardcover),Alex Light
317,"Spin the Dawn (The Blood of Stars, #1)",Elizabeth Lim
318,"A Discovery of Witches (All Souls, #1)",Deborah Harkness
319,"Act Your Age, Eve Brown (The Brown Sisters, #3)",Talia Hibbert
320,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman
321,"Ruthless Creatures (Queens & Monsters, #1)",J.T. Geissinger
322,"On Dublin Street (On Dublin Street, #1)",Samantha Young
323,The Way I Used to Be (Kindle Edition),Amber Smith
324,Eleanor Oliphant Is Completely Fine (Hardcover),Gail Honeyman
325,The Kiss Thief (Paperback),L.J. Shen
326,"Paper Princess (The Royals, #1)",Erin Watt
327,"The Lightning Thief (Percy Jackson and the Olympians, #1)",(Pseudonym)
328,"Praise (Salacious Players Club, #1)",Rick Riordan
329,"Locked Up Liars (Saint View Prison, #1)",Sara Cate
330,"City of Thorns (The Demon Queen Trials, #1)",Elle Thorpe
331,"A Fate of Wrath & Flame (Fate & Flame, #1)",C.N. Crawford
332,"A Shadow in the Ember (Flesh and Fire, #1)",K.A. Tucker
333,History Is All You Left Me (ebook),Jennifer L. Armentrout
334,Incendiary (Hollow Crown #1),Adam Silvera
335,Holding Up the Universe (Hardcover),Zoraida Córdova
336,"Jade City (The Green Bone Saga, #1)",Jennifer Niven
337,"Angelfall (Penryn & the End of Days, #1)",Fonda Lee
338,"The Kinder Poison (The Kinder Poison, #1)",Susan Ee
339,"Gideon the Ninth (The Locked Tomb, #1)",Natalie Mae
340,"A Promise of Fire (Kingmaker Chronicles, #1)",Tamsyn Muir
341,"Ash Princess (Ash Princess Trilogy, #1)",Amanda Bouchet
342,"A Thousand Pieces of You (Firebird, #1)",Laura Sebastian
343,"The Hunger Games (The Hunger Games, #1)",Claudia Gray
344,A Million Kisses in Your Lifetime (Paperback),Suzanne Collins
345,A Lady of Rooksgrave Manor (Tempting Monsters #1),Monica Murphy
346,Ariadne (Hardcover),Kathryn Moon
347,The Guest List (Hardcover),Jennifer Saint
348,"Feather (Angels of Elysium, #1)",Lucy Foley
349,"The Gilded Ones (The Gilded Ones, #1)",Olivia Wildenstein
350,"Destroy Me (Shatter Me, #1.5)",Tahereh Mafi
351,The Worst Best Man (ebook),Mia Sosa
352,The Kite Runner (Paperback),Khaled Hosseini
353,"The Never King (Vicious Lost Boys, #1)",Nikki St. Crowe
354,The Spy Master,Laureline Ducros
355,"Lessons in Corruption (The Fallen Men, #1)",Giana Darling
356,Writers & Lovers (Hardcover),Lily King
357,"The Simple Wild (Wild, #1)",K.A. Tucker
358,The Dark Tide (Hardcover),Alicia Jasinska
359,"King of the South (Belgrave Dynasty, #1)",Calia Read
360,"Kill Switch (Devil's Night, #3)",Penelope Douglas
361,"Malice (Malice Duology, #1)",Heather Walter
362,Better Than the Movies (Hardcover),Lynn Painter
363,Lilac (Kindle Edition),B.B. Reid
364,"Radiance (Wraith Kings, #1)",Grace Draven
365,"Kings of Quarantine (Brutal Boys of Everlake Prep, #1)",Caroline Peckham
366,"A Touch of Chaos (Hades & Persephone, #4)",Scarlett St. Clair
367,"A Heart So Fierce and Broken (Cursebreakers, #2)",Brigid Kemmerer
368,Down Comes the Night (Hardcover),Allison Saft
369,Know My Name (ebook),Chanel Miller
370,Salt to the Sea (Hardcover),Ruta Sepetys
371,"Take a Hint, Dani Brown (The Brown Sisters, #2)",Talia Hibbert
372,"Skyhunter (Skyhunter, #1)",Marie Lu
373,"Of Fire and Stars (Of Fire and Stars, #1)",Audrey Coulthurst
374,"Dipped In Holly (Nick and Holly, #1)",Dana Isaly
375,"Carnage (Four Horsemen, #1)",Sarah Bailey
376,"The High Mountain Court (The Five Crowns of Okrith, #1)",A.K. Mulford
377,Seven Days in June (Hardcover),Tia Williams
378,"The Song of the Marked (Shadows and Crowns, #1)",S.M. Gaither
379,"A Vow Of Hate (A Vow of Hate, #1)",Lylah James
380,Scars (The Triad #1),Dana Isaly
381,"The Doctor (Nashville Neighborhood, #1)",Nikki Sloane
382,Heartstopper: Volume Four (Heartstopper #4),Alice Oseman
383,Everything I Know About Love (Hardcover),Dolly Alderton
384,"Glint (The Plated Prisoner, #2)",Raven Kennedy
385,"The Bromance Book Club (Bromance Book Club, #1)",Lyssa Kay Adams
386,"Nightfall (Devil's Night, #4)",Penelope Douglas
387,"What If It's Us (What If It's Us, #1)",Becky Albertalli
388,Piranesi (Hardcover),Susanna Clarke
389,"Zero Repeat Forever (The Nahx Invasions, #1)",Gabrielle S. Prendergast
390,The Fault in Our Stars (Hardcover),John Green
391,Anxious People (Paperback),Fredrik Backman
392,"Chain of Gold (The Last Hours, #1)",Cassandra Clare
393,"Love & Gelato (Love & Gelato, #1)",Jenna Evans Welch
394,"The Final Gambit (The Inheritance Games, #3)",Jennifer Lynn Barnes
395,Tender is the Flesh (Paperback),Agustina Bazterrica
396,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi
397,"All of Us Villains (All of Us Villains, #1)",(著)
398,The Last Thing He Told Me (Hardcover),Amanda Foody
399,Then She Was Gone (Hardcover),Laura Dave
400,The Picture of Dorian Gray (Paperback),Oscar Wilde
401,"Bring Me Their Hearts (Bring Me Their Hearts, #1)",Sara Wolf
402,The Grace Year (Hardcover),Kim Liggett
403,The Octunnumi Fosbit Files Prologue (Paperback),Trevor Alan Foris
404,I'm Thinking of Ending Things (Kindle Edition),Iain Reid
405,"Fracture Me (Shatter Me, #2.5)",Tahereh Mafi
406,"Prodigy (Legend, #2)",Marie Lu
407,Turtles All the Way Down (Hardcover),John Green
408,Pride and Prejudice (Paperback),Jane Austen
409,"Hideaway (Devil's Night, #2)",Penelope Douglas
410,"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur
411,Little Fires Everywhere (Hardcover),Celeste Ng
412,"Scarred (Never After, #2)",Emily McIntire
413,Frivolous (Kindle Edition),Veronica Lancet
414,Gothikana (Kindle Edition),RuNyx
415,Things Have Gotten Worse Since We Last Spoke (Kindle Edition),Eric LaRocca
416,The Wolf and the Woodsman (Hardcover),Ava Reid
417,The Ex Talk (Kindle Edition),Rachel Lynn Solomon
418,The Witch's Heart (Hardcover),Genevieve Gornichec
419,The Light We Lost (Hardcover),Jill Santopolo
420,The One (Kindle Edition),John Marrs
421,"Twilight (The Twilight Saga, #1)",Stephenie Meyer
422,"The Last Magician (The Last Magician, #1)",Lisa Maxwell
423,Gods of Jade and Shadow (Hardcover),Silvia Moreno-Garcia
424,"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick
425,She Drives Me Crazy (ebook),Kelly Quindlen
426,"Oath Taker (Kingdom of Runes, #1)",Audrey Grey
427,"A Ruin of Roses (Deliciously Dark Fairytales, #1)",K.F. Breene
428,Blindsided (Harris Brothers World #2),Amy Daws
429,Firekeeper's Daughter (Hardcover),Angeline Boulley
430,Still Beating (Kindle Edition),Jennifer Hartmann
431,"The Jasmine Throne (Burning Kingdoms, #1)",Tasha Suri
432,"Gleam (The Plated Prisoner, #3)",Raven Kennedy
433,"Beautifully Cruel (Beautifully Cruel, #1)",J.T. Geissinger
434,"Voyeur (Voyeur, #1)",Fiona Cole
435,Norwegian Wood (Paperback),Haruki Murakami
436,"Kingdom of Exiles (The Beast Charmer, #1)",Maxym M. Martineau
437,"The Dare (Briar U, #4)",Elle Kennedy
438,Dune (Hardcover),Frank Herbert
439,Starry Eyes (Hardcover),Jenn Bennett
440,"The Heir (The Selection, #4)",Kiera Cass
441,"Shadow of the Fox (Shadow of the Fox, #1)",Julie Kagawa
442,Priceless (Kindle Edition),Miranda Silver
443,"The Heir (Kingmakers, #1)",Sophie Lark
444,"Vow of Deception (Deception Trilogy, #1)",Rina Kent
445,The Savage and the Swan (Paperback),Ella Fields
446,"A Dowry of Blood (A Dowry of Blood, #1)",S.T. Gibson
447,"Lords of Pain (The Royals of Forsyth University, #1)",Angel Lawson
448,"The Finish Line (The Ravenhood, #3)",Kate Stewart
449,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson
450,Lost in the Never Woods (Hardcover),Aiden Thomas
451,The Bell Jar (Paperback),Sylvia Plath
452,Flowers for Algernon (Paperback),Daniel Keyes
453,"The Foxhole Court (All for the Game, #1)",Nora Sakavic
454,"Malice (The Faithful and the Fallen, #1)",John Gwynne
455,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss
